Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name
2-Aug-22,-406.2,425000000, ,TRANSFER DEBIT,INTERNET BPAY  CITY COUNCIL,2039.48,Uncategorised,
29-Jul-22,1279.7,425000000, ,INTER-BANK CREDIT,LS  Laing Simmons ,2445.68,Other income,
29-Jul-22,-930.13,425000000, ,INTERE CHARGED,INTERE CHARGED FROM A/C00-000-0000,1165.98,Financial,
18-Jul-22,-49.48,425000000, ,AUTOMATIC DRAWING,60107Z2LW017622199 ALLIANZ,2096.11,Bills,Allianz Insurance
15-Jul-22,1246.7,425000000, ,INTER-BANK CREDIT,LS  Laing Simmons ,2145.59,Other income,
30-Jun-22,-962.2,425000000, ,INTERE CHARGED,INTERE CHARGED FROM A/C00-000-0000,898.89,Financial,
30-Jun-22,0.02,425000000, ,INTERE PAID,INTERE,1861.09,Other income,
17-Jun-22,-49.48,425000000, ,AUTOMATIC DRAWING,60107Z2LW013822168 ALLIANZ INSURE ,1861.07,Bills,Allianz Insurance
15-Jun-22,642.6,425000000, ,INTER-BANK CREDIT,LS  Laing Simmons  ,1910.55,Other income,
31-May-22,-1026.35,425000000, ,INTERE CHARGED,INTERE CHARGED FROM A/C00-000-0000,1267.95,Financial,
31-May-22,1279.7,425000000, ,INTER-BANK CREDIT,LS  Laing Simmons ,2294.3,Other income,
17-May-22,-49.48,425000000, ,AUTOMATIC DRAWING,60107Z2LW010222137 ALLIANZ ,1014.6,Bills,Allianz Insurance
13-May-22,642.6,425000000, ,INTER-BANK CREDIT,LS  Laing Simmons ,1064.08,Other income,
9-May-22,-397.4,425000000, ,TRANSFER DEBIT,INTERNET BPAY  CITY COUNCIL,421.48,Uncategorised,
